experimento,sequential,adaptive,traditional_w2,traditional_w4,traditional_w8,traditional_w16,best_traditional,adaptive_vs_best_%
01_baseline_low,0.2087,0.9638,0.4084,0.6722,0.9803,1.7613,1.7613,-45.3000
02_baseline_med,0.0211,0.2294,0.0410,0.0784,0.1622,0.2344,0.2344,-2.1000
03_baseline_high,0.0133,0.1198,0.0257,0.0491,0.0923,0.1253,0.1253,-4.3000
04_burst_low,0.0514,0.4608,0.0998,0.1901,0.3361,0.4749,0.4749,-3.0000
05_burst_high,0.0447,0.4149,0.0869,0.1672,0.3157,0.4579,0.4579,-9.4000
06_noise2_low,0.0247,0.2181,0.0393,0.0750,0.1399,0.2105,0.2105,3.6000
07_noise2_burst,0.0405,0.3839,0.0760,0.1458,0.2725,0.4060,0.4060,-5.4000
08_noise4_low,0.0189,0.1883,0.0415,0.0899,0.1584,0.1983,0.1983,-5.1000
09_noise4_burst,0.0451,0.3701,0.0888,0.1737,0.3034,0.3827,0.3827,-3.3000
10_noise8_burst,0.0419,0.2956,0.0826,0.1550,0.2334,0.3157,0.3157,-6.4000
